description,industry,level,size,line_code,value,Unit,Footnotes
Regular communication with employees about: major changes: yes,Other wholesale trade,2,total,C0903.01,1797,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Retail trade,1,total,C0903.01,4239,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Accommodation & food services,1,total,C0903.01,4896,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,"Transport, postal, & warehousing",1,total,C0903.01,1305,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Information media & telecommunications,1,total,C0903.01,408,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Publishing,2,total,C0903.01,162,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Motion picture,2,total,C0903.01,132,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Telecommunications,2,total,C0903.01,111,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Financial & insurance services,1,total,C0903.01,657,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Finance,2,total,C0903.01,195,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Insurance,2,total,C0903.01,36,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Auxiliary,2,total,C0903.01,432,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,"Rental, hiring, & real estate services",1,total,C0903.01,879,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,"Professional, scientific, & technical services",1,total,C0903.01,4473,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Computer systems design,2,total,C0903.01,879,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Other professional scientific,2,total,C0903.01,3597,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Administrative & support services,1,total,C0903.01,1518,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Education & training,1,total,C0903.01,1077,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Health care & social assistance,1,total,C0903.01,2562,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Arts & recreation services,1,total,C0903.01,441,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Other services,1,total,C0903.01,1044,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,total,0,total,C0903.01,39543,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,total,0,6019 employees,C0903.02,3408,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: major changes: no,total,0,20049 employees,C0903.02,633,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: major changes: no,total,0,50099 employees,C0903.02,183,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: major changes: no,total,0,100+ employees,C0903.02,93,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: major changes: no,"Agriculture, forestry, & fishing",1,total,C0903.02,306,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Agriculture,2,total,C0903.02,159,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Commercial fishing,2,total,C0903.02,3,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Forestry & logging,2,total,C0903.02,21,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,"Agriculture, forestry, & fishing support services",2,total,C0903.02,126,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Mining,1,total,C0903.02,12,Number of businesses,1 and 2 and 3 and 5 and 6
Regular communication with employees about: major changes: no,Manufacturing,1,total,C0903.02,489,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,"Food, beverage, & tobacco",2,total,C0903.02,45,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,"Textile, clothing, footwear, & leather",2,total,C0903.02,36,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Wood & paper product,2,total,C0903.02,42,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,"Printing, publishing, & recorded media",2,total,C0903.02,27,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,"Petroleum, coal, chemical, & associated product",2,total,C0903.02,30,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Non-metallic mineral product,2,total,C0903.02,18,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Metal product,2,total,C0903.02,168,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Transport and industrial machinery & equipment,2,total,C0903.02,51,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Other machinery & equipment,2,total,C0903.02,24,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Other manufacturing,2,total,C0903.02,48,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,"Electricity, gas, water, & waste services",1,total,C0903.02,9,Number of businesses,1 and 2 and 3 and 5 and 6
Regular communication with employees about: major changes: no,Construction,1,total,C0903.02,714,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Wholesale trade,1,total,C0903.02,393,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Machinery & equipment wholesaling,2,total,C0903.02,51,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Other wholesale trade,2,total,C0903.02,342,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Retail trade,1,total,C0903.02,507,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Accommodation & food services,1,total,C0903.02,660,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,"Transport, postal, & warehousing",1,total,C0903.02,120,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Information media & telecommunications,1,total,C0903.02,27,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Publishing,2,total,C0903.02,9,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Motion picture,2,total,C0903.02,9,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Telecommunications,2,total,C0903.02,6,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Financial & insurance services,1,total,C0903.02,6,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Finance,2,total,C0903.02,3,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Insurance,2,total,C0903.02,3,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Auxiliary,2,total,C0903.02,3,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,"Rental, hiring, & real estate services",1,total,C0903.02,66,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,"Professional, scientific, & technical services",1,total,C0903.02,375,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Computer systems design,2,total,C0903.02,54,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Other professional scientific,2,total,C0903.02,321,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Administrative & support services,1,total,C0903.02,207,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Education & training,1,total,C0903.02,48,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Health care & social assistance,1,total,C0903.02,123,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Arts & recreation services,1,total,C0903.02,66,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Other services,1,total,C0903.02,186,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,total,0,total,C0903.02,4317,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,total,0,6019 employees,C0903.03,1419,Number of businesses,1 and 2 and 3 and 4 and 6
